#a,b
-0.82888,0.40808
1.88551,-0.20487
2.16285,1.88332
1.53220,-0.12450
0.98031,-0.98072
0.93846,2.06518
-0.70644,0.38456
1.14958,-0.94638
1.84839,1.85709
-1.08639,-0.24563
0.96709,-0.21716
2.75308,3.02936
-0.80787,-0.62289
0.82785,-1.86942
4.10220,1.83280
-0.91490,-0.13965
1.20537,-1.55836
2.08820,1.33371
-0.88606,-0.37612
1.20933,-1.24397
1.13372,0.93572
-1.24605,-0.90094
1.25196,-0.98023
2.08139,2.70707
-0.93466,-0.04231
0.91961,-1.10374
1.78816,2.10369
-0.98663,-0.59386
-0.44339,-0.20169
2.59231,0.97499
0.23839,-0.94853
1.33368,-1.42985
2.89777,1.48239
-1.00905,0.12622
0.96717,-0.98270
3.05025,0.94283
0.71344,0.51125
0.42495,-1.55421
2.06225,1.95299
-1.68657,-0.02798
1.04052,-1.17209
2.09787,1.99561
-0.88135,-0.06347
0.29540,0.38322
1.65003,1.86353
-1.30566,-0.09941
0.98639,-0.78637
0.98599,2.45476
-1.01181,0.08697
-0.05340,-0.84310
1.98091,2.05220
-0.52735,0.59083
0.28656,-1.90270
1.31019,1.68246
-0.28677,-0.71725
0.65980,-0.93318
1.29664,2.32116
-3.32787,0.47024
2.08481,1.01071
1.86911,-0.19430
-0.93369,0.06371
0.38074,-0.20576
2.39863,2.28946
-0.68499,-0.06533
1.47354,-1.08446
4.21107,1.58979
-1.36769,-0.32175
0.39409,-0.86374
2.00020,2.04405
-0.16972,0.74196
0.72475,-0.70564
2.25853,1.95425
-0.46502,-0.88960
1.10629,0.16556
1.62891,2.41420
-1.04448,-0.00406
1.68720,-0.70044
1.67196,2.74915
0.20307,-0.17917
0.73298,-1.11081
1.98505,1.68706
-1.92287,0.71219
0.76863,-1.75840
1.87413,1.73279
-0.97845,0.00511
1.24374,-0.93918
1.94846,1.61085
-0.99990,0.00960
0.28138,-0.61532
1.83792,2.29881
-0.30924,1.16052
1.95700,-1.60863
1.11542,0.84565
-1.77277,0.62503
1.67150,-1.04135
1.69907,2.08379
-2.37887,0.10211
0.53885,-1.05546
1.54491,2.70104
-1.05655,0.05329
1.88531,-2.18311
1.74908,1.50018
-0.48679,-0.54569
1.04258,-0.89236
2.12896,2.29050
-1.67979,0.52579
0.31078,-0.54076
2.02012,1.88870
-1.29744,0.07401
0.88501,-0.93436
-0.05358,0.60774
-1.00145,-0.43204
0.99182,-0.98409
2.47788,1.83418
-0.26549,-0.03721
0.72968,-1.17105
2.60473,1.16444
-1.51280,0.44170
0.94299,-0.97484
2.55528,2.26979
-1.14936,-0.13996
1.14139,-1.17223
0.99217,1.62413
-2.04045,0.60651
1.08549,-1.22767
1.75766,2.08486
-1.01310,-0.00440
0.95040,-0.86142
2.21511,1.97616
-0.89268,0.07890
0.72861,-0.94591
1.36660,2.06622
-2.06595,-0.58956
0.24452,-0.63314
2.27385,1.50330
-0.63741,-0.29844
1.13571,-1.06783
1.73199,1.54069
-0.59427,-0.97946
1.06708,-1.29363
1.44119,2.17452
-1.33639,-0.09912
2.56084,-1.30692
2.02733,2.07125
-0.22949,0.93264
0.16894,-2.49852
1.89641,2.28391
-0.68070,0.61285
0.78827,-1.28444
1.13153,0.49383
-1.88680,-0.02733
0.73389,-0.91997
2.00686,2.13842
-0.32656,0.37579
0.73344,-0.82250
2.19167,1.61407
-2.12006,1.87207
0.85802,0.90211
1.87833,2.67350
-1.19190,-0.31851
0.42078,-1.20678
1.30543,1.28707
-1.46392,-0.34089
1.11660,-0.84969
2.17461,3.29706
-1.78396,-0.71979
2.18585,-0.90511
1.80488,4.07651
0.20689,-1.38597
0.10298,-1.61787
1.62480,1.71783
-1.40087,-0.77216
2.60699,-1.66515
2.18835,2.10873
-1.04277,0.24952
-1.14440,-0.37000
1.61443,1.63610
-1.26106,-0.23186
1.12219,-1.06510
1.80610,1.89989
-0.84364,0.15952
0.93012,-1.40016
1.96877,1.99191
-1.88627,-0.26429
1.25066,-1.86505
1.79557,1.80193
-1.07422,0.21868
1.14668,-1.34886
2.35223,2.44308
0.72067,-0.76955
0.68606,-0.53880
1.30150,3.77910
-1.27987,0.21087
1.89712,-1.34621
0.92815,1.66433
-1.23223,-2.57778
-0.15058,-1.64627
0.40823,3.86205
-0.41022,0.06348
0.72683,-0.23399
2.01982,1.97070
-0.91117,-0.20876
1.18994,-1.29985
2.70072,1.94875
-1.38063,-0.06959
0.72935,-3.16098
1.66192,2.19045
-1.17070,0.08680
1.71461,-0.13351
2.57857,2.05794
-1.01118,1.31804
1.24350,-1.23580
3.08133,1.36238
-0.80155,-2.34646
2.32154,-0.22081
1.94875,1.62607
0.12710,-0.78274
0.11275,-1.07866
2.40451,1.61748
-1.21436,-0.19767
1.31598,-0.78914
1.98258,3.35827
-1.54484,-1.19343
1.12515,-1.04471
2.00198,1.96060
-0.08069,0.24056
-0.07554,-1.31909
2.16434,1.47975
-1.48989,-1.01044
2.51975,-0.48498
1.58411,1.50712
-1.36953,-0.40231
2.17660,-0.51097
1.65840,2.05897
-0.88221,-0.12187
-0.00089,-0.51590
2.71512,2.30168
-1.29487,-0.06441
0.83209,-0.60217
1.98124,1.86060
-0.88391,0.00909
0.36354,-1.32947
1.18189,2.74686
-1.01410,0.03776
0.51587,-1.62312
3.21514,2.19825
-1.02057,0.01403
0.18200,-1.03228
2.03367,1.86478
-0.58295,0.20313
0.27412,0.05530
1.75411,1.20373
-1.20181,-0.02955
0.47542,-1.10121
0.96217,1.44320
-1.30492,0.85093
1.13460,-0.93207
2.19896,2.05062
-1.50832,-0.03482
0.92616,-0.38283
